iter	RMSE
0	46.4064147
1	44.54482503
2	42.72563862
3	41.05070059
4	39.42322753
5	37.89656968
6	36.37972515
7	35.01447431
8	33.69090842
9	32.45669467
10	31.22996882
11	30.11624888
12	29.05141402
13	28.05834879
14	27.0760849
15	26.15256339
16	25.28509411
17	24.46618035
18	23.68120738
19	22.94817525
20	22.25781652
21	21.56853462
22	20.90360354
23	20.28933786
24	19.72500613
25	19.15276127
26	18.61992993
27	18.12270722
28	17.62765301
29	17.22507826
30	16.78027664
31	16.40096676
32	16.02195674
33	15.69243023
34	15.33822398
35	15.00824111
36	14.71384701
37	14.40468359
38	14.12360905
39	13.85330218
40	13.6068514
41	13.38023472
42	13.15231829
43	12.93583517
44	12.74404771
45	12.54929727
46	12.36856896
47	12.19971801
48	12.03260588
49	11.87735067
50	11.73597544
51	11.59470688
52	11.46715394
53	11.34657782
54	11.2251457
55	11.11127427
56	11.0003535
57	10.90394147
58	10.80702368
59	10.70479249
60	10.62123097
61	10.5258937
62	10.4443154
63	10.37345337
64	10.29193544
65	10.22009032
66	10.15255257
67	10.08837803
68	10.0303331
69	9.973551081
70	9.913879367
71	9.861767482
72	9.802849394
73	9.74401795
74	9.696197027
75	9.647793061
76	9.594709322
77	9.550712419
78	9.508489965
79	9.454556108
80	9.415357164
81	9.370176896
82	9.317409165
83	9.275650666
84	9.23414715
85	9.185752617
86	9.147396636
87	9.116538933
88	9.072780388
89	9.037625202
90	9.00616601
91	8.982869703
92	8.950434905
93	8.918532781
94	8.889455992
95	8.862186605
96	8.81819927
97	8.776148944
98	8.751518037
99	8.721602948
100	8.695180506
101	8.665996891
102	8.63130771
103	8.597749026
104	8.567895731
105	8.542956897
106	8.518957303
107	8.485299255
108	8.46345665
109	8.441466226
110	8.419993976
111	8.399418235
112	8.367374284
113	8.341952262
114	8.315705433
115	8.285565112
116	8.261851376
117	8.240482688
118	8.211723047
119	8.192687564
120	8.164340264
121	8.138263871
122	8.117292918
123	8.097295023
124	8.073162867
125	8.048290377
126	8.032677593
127	8.010081547
128	7.989795167
129	7.965425209
130	7.944602156
131	7.929785445
132	7.910177005
133	7.895101494
134	7.869771043
135	7.849240022
136	7.833856413
137	7.81337563
138	7.797052695
139	7.773062423
140	7.751423164
141	7.729300246
142	7.710359326
143	7.689107085
144	7.670443952
145	7.649042177
146	7.63115474
147	7.61292834
148	7.595278474
149	7.574721572
150	7.554790073
151	7.532674722
152	7.513234515
153	7.491878674
154	7.471636437
155	7.452190226
156	7.436359272
157	7.420250392
158	7.398899397
159	7.38238508
160	7.365787942
161	7.350348168
162	7.338777438
163	7.325911733
164	7.311791247
165	7.29261544
166	7.279180543
167	7.261974344
168	7.246611242
169	7.231651848
170	7.221163731
171	7.207706573
172	7.195433817
173	7.180438055
174	7.162670277
175	7.146080025
176	7.127959199
177	7.108858053
178	7.094127597
179	7.081756474
180	7.067670197
181	7.053189614
182	7.040357943
183	7.029455718
184	7.021782452
185	7.002532455
186	6.985000933
187	6.976953347
188	6.959941783
189	6.944783784
190	6.926551748
191	6.912153324
192	6.902072345
193	6.887513581
194	6.869871196
195	6.856813527
196	6.841591572
197	6.827089295
198	6.813364841
199	6.798864719
200	6.786882778
201	6.769690866
202	6.758105086
203	6.746428187
204	6.734956507
205	6.723628579
206	6.71299012
207	6.697624405
208	6.685580181
209	6.676836545
210	6.663912778
211	6.65070816
212	6.636428411
213	6.617230984
214	6.607412226
215	6.595825742
216	6.584546467
217	6.570423796
218	6.559652622
219	6.548162227
220	6.534213663
221	6.523503897
222	6.512249107
223	6.501447166
224	6.48677972
225	6.47096118
226	6.460233917
227	6.450090679
228	6.440011612
229	6.43125343
230	6.420426661
231	6.409545309
232	6.397433014
233	6.389308007
234	6.377431171
235	6.367303517
236	6.35726876
237	6.348763059
238	6.339924359
239	6.33068199
240	6.325129911
241	6.314813221
242	6.307099759
243	6.296041112
244	6.289837728
245	6.279079802
246	6.268991109
247	6.258138859
248	6.247676964
249	6.238476154
250	6.227217127
251	6.218716828
252	6.20901091
253	6.198755095
254	6.188534667
255	6.176258429
256	6.166088782
257	6.158683149
258	6.147979192
259	6.138886131
260	6.126632622
261	6.116366579
262	6.104558524
263	6.096279261
264	6.090943289
265	6.084240833
266	6.074003302
267	6.065773928
268	6.056929363
269	6.049065567
270	6.039345298
271	6.029880456
272	6.020204828
273	6.009992328
274	6.002940787
275	5.992255165
276	5.98107931
277	5.972446305
278	5.963948372
279	5.957024509
280	5.946294518
281	5.93740697
282	5.926511822
283	5.915526457
284	5.90756057
285	5.900025329
286	5.88683983
287	5.879368978
288	5.872272458
289	5.861844984
290	5.853607516
291	5.846498748
292	5.838429797
293	5.828866237
294	5.820118482
295	5.812227567
296	5.802884726
